replicate_id,treatment,bits,operation,time,iterations,compile_time_optimizations
21,bit_vector,16,L_SHIFT_1l,8.1404e+07,1000000,1
22,bit_vector,16,CountOnes_Mixed,7.881e+06,1000000,1
22,bit_vector,16,NOT,8.1258e+07,1000000,1
22,bit_vector,16,AND,7.9287e+07,1000000,1
22,bit_vector,16,OR,7.9613e+07,1000000,1
22,bit_vector,16,NAND,7.9182e+07,1000000,1
22,bit_vector,16,NOR,7.8531e+07,1000000,1
22,bit_vector,16,XOR,8.0944e+07,1000000,1
22,bit_vector,16,EQU,8.1364e+07,1000000,1
22,bit_vector,16,R_SHIFT_0.25l,7.823e+07,1000000,1
22,bit_vector,16,R_SHIFT_0.5l,7.5534e+07,1000000,1
22,bit_vector,16,R_SHIFT_1l,7.5828e+07,1000000,1
22,bit_vector,16,L_SHIFT_0.25l,7.3829e+07,1000000,1
22,bit_vector,16,L_SHIFT_0.5l,7.6391e+07,1000000,1
22,bit_vector,16,L_SHIFT_1l,7.9096e+07,1000000,1
23,bit_vector,16,CountOnes_Mixed,6.192e+06,1000000,1
23,bit_vector,16,NOT,7.5842e+07,1000000,1
23,bit_vector,16,AND,7.3846e+07,1000000,1
23,bit_vector,16,OR,7.3954e+07,1000000,1
23,bit_vector,16,NAND,7.6299e+07,1000000,1
23,bit_vector,16,NOR,7.9421e+07,1000000,1
23,bit_vector,16,XOR,7.9978e+07,1000000,1
23,bit_vector,16,EQU,8.2699e+07,1000000,1
23,bit_vector,16,R_SHIFT_0.25l,7.8502e+07,1000000,1
23,bit_vector,16,R_SHIFT_0.5l,9.3868e+07,1000000,1
23,bit_vector,16,R_SHIFT_1l,1.02777e+08,1000000,1
23,bit_vector,16,L_SHIFT_0.25l,1.16186e+08,1000000,1
23,bit_vector,16,L_SHIFT_0.5l,1.18278e+08,1000000,1
23,bit_vector,16,L_SHIFT_1l,1.36199e+08,1000000,1
24,bit_vector,16,CountOnes_Mixed,8.421e+06,1000000,1
24,bit_vector,16,NOT,9.2384e+07,1000000,1
